kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
的,73,bull's eye,bull’s eye; white; dove; ladle; bound up; drop,テキ,まと,8
首,74,neck,horns; nose; one; ceiling; drop; eye,シュ,くび,9,N3
乙,75,fish guts,fishguts; fishhook,オツ; イツ,おと-; きのと,1,N1
乱,76,riot,tongue; thousand; drop; ten; needle; mouth; fishhook,ラン; ロン,みだ.れる; みだ.る; みだ.す; みだ; おさ.める; わた.る,7,N2
直,77,straightaway,ten; needle; eye; fishhook,チョク; ジキ; ジカ,ただ.ちに; なお.す; -なお.す; なお.る; なお.き; す.ぐ,8,N3
具,78,tool,eye; one; animal legs; eight,グ,そな.える; つぶさ.に,8,N3
真,79,true,ten; needle; eye; tool; one; animal legs; eight,シン,ま; ま-; まこと,10,N4
工,80,craft,artificial,コウ; ク; グ,,3,N4
左,81,left,by one’s side; craft,サ; シャ,ひだり,5,N5
右,82,right,by one’s side; mouth,ウ; ユウ,みぎ,5,N5
有,83,possess,by one’s side; moon; month; flesh; part of the body,ユウ; ウ,あ.る,6,N4
賄,84,bribe,shellfish; clam; oyster; eye; animal legs; eight; possess; by one’s side; moon; month; flesh; part of the body,ワイ,まかな.う,13,N1
貢,85,tribute,craft; shellfish; clam; oyster; eye; animal legs; eight,コウ; ク,みつ.ぐ,10,N1
項,86,paragraph,craft; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,コウ,うなじ,12,N1
刀,87,sword,dagger,トウ,かたな; そり,2,N1
刃,88,blade,drop; sword; dagger,ジン; ニン,は; やいば; き.る,3,N1
切,89,cut,seven; diced; sword; dagger,セツ; サイ,き.る; -き.る; き.り; -き.り; -ぎ.り; き.れる; -き.れる; き.れ; -き.れ; -ぎ.れ,4,N4
召,90,seduce,sword; dagger; mouth,ショウ,め.す,5,N2
昭,91,shining,sun; day; seduce; summon; sword; dagger; mouth,ショウ,,9,N1
則,92,rule,shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,のっと.る,9,N2
副,93,vice-,wealth; one; ceiling; mouth; rice field; brains; sword; sabre; saber,フク,,11,N2
別,94,separate,mouth; bound up; sword; sabre; saber,ベツ,わか.れる; わ.ける,7,N4
丁,95,street,nail; spike,チョウ; テイ; チン; トウ; チ,ひのと,2,N1
町,96,village,rice field; brains; street; nail; spike,チョウ,まち,7,N4
可,97,can,mouth; street; street; nail; spike,カ; コク,-べ.き,5
頂,98,place on the head,street; nail; spike; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,チョウ,いただ.く; いただき,11,N3
子,99,child,,シ; ス; ツ,こ; -こ; ね,3,N5
孔,100,cavity,child; fishhook,コウ,あな,4,N1
了,101,complete,child with arms wrapped up,リョウ,,2,N2
女,102,woman,,ジョ; ニョ; ニョウ,おんな; め,3,N5
好,103,fond,woman; child,コウ,この.む; す.く; よ.い; い.い,6,N3
如,104,likeness,woman; mouth,ジョ; ニョ,ごと.し,6,N1
母,105,mama,mother; breasts,ボ,はは; も,5,N5
貫,106,pierce,mama; mother; breasts; oyster; shellfish; clam; oyster; eye; animal legs; eight,カン,つらぬ.く; ぬ.く; ぬき,11,N1
兄,107,elder brother,teenager; mouth; human legs,ケイ; キョウ,あに,5,N4
呪,108,curse,mouth; elder brother; teenager; mouth; human legs,ジュ; シュ; シュウ; ズ,まじな.う; のろ.い; まじな.い; のろ.う,8
克,109,overcome,ten; needle; elder brother; teenager; mouth; human legs,コク,か.つ,7,N1
小,110,little,small,ショウ,ちい.さい; こ-; お-; さ-,3,N5
少,111,few,little; small; drop,ショウ,すく.ない; すこ.し,4,N4
大,112,large,St. Bernard,ダイ; タイ,おお-; おお.きい; -おお.いに,3,N5
多,113,many,evening,タ,おお.い; まさ.に; まさ.る,6,N4
夕,114,evening,,セキ,ゆう,3,N4
汐,115,eventide,water; water droplets; water pistol; evening,セキ,しお; うしお; せい,6,N1
外,116,outside,evening; magic wand; augury,ガイ; ゲ,そと; ほか; はず.す; はず.れる; と-,5,N5
名,117,name,evening; mouth,メイ; ミョウ,な; -な,6,N5
石,118,stone,cliff; mouth,セキ; シャク; コク,いし,5,N3
肖,119,resemblance,spark; candle; small; little; moon; month; flesh; part of the body,ショウ,あやか.る,7,N1
