kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
海,500,sea,water; water droplets; water pistol; every; reclining; lying down; mother; breasts,カイ,うみ,9,N4
乞,501,beg,reclining; lying down; fishhook,コツ; キツ; キ; キケ; コチ,こ.う,3
乾,502,drought,mist; ten; needle; early; sun; day; beg; reclining; lying down; fishhook,カン; ケン,かわ.く; かわ.かす; ほ.す; ひ.る; いぬい,11,N2
腹,503,abdomen,moon; month; flesh; part of the body; fold back; double back; reclining; lying down; sun; day; walking legs,フク,はら,13,N3
複,504,duplicate,cloak; fold back; double back; reclining; lying down; sun; day; walking legs,フク,,14,N2
欠,505,lack,yawn,ケツ; ケン,か.ける; か.く; あくび,4,N3
吹,506,blow,mouth; lack; yawn,スイ,ふ.く,7,N3
炊,507,cook,fire; lack; yawn,スイ,た.く; -だ.き,8,N1
歌,508,song,cancan; can; mouth; street; nail; spike; lack; yawn,カ,うた; うた.う,14,N4
軟,509,soft,car; lack; yawn,ナン,やわ.らか; やわ.らかい,11,N2
次,510,next,ice; lack; yawn,ジ; シ,つ.ぐ; つぎ,6,N3
茨,511,briar,flowers; next; ice; lack; yawn,シ; ジ,いばら; かや; くさぶき,9
資,512,assets,next; ice; lack; yawn; shellfish; clam; oyster; eye; animal legs; eight,シ,,13,N3
姿,513,figure,next; ice; lack; yawn; woman,シ,すがた,9,N1
諮,514,consult with,say; words; keitai; mouth; next; ice; lack; yawn; mouth,シ,はか.る,16,N1
賠,515,compensation,shellfish; clam; oyster; eye; animal legs; eight; muzzle; vase; stand up; mouth,バイ,,15,N1
培,516,cultivate,soil; dirt; ground; muzzle; vase; stand up; mouth,バイ,つちか.う,11,N1
剖,517,divide,muzzle; vase; stand up; mouth; sword; sabre; saber,ボウ,,10,N1
音,518,sound,vase; stand up; sun; day; tongue wagging,オン; イン; ノン,おと; ね,9,N4
暗,519,darkness,sun; day; sound; vase; stand up; sun; day,アン,くら.い; くら.む; くれ.る,13,N3
韻,520,rhyme,sound; vase; stand up; sun; day; employee; mouth; shellfish; clam; oyster; eye; animal legs; eight,イン,,19,N1
識,521,discriminating,say; words; keitai; mouth; kazoo; sound; vase; stand up; sun; day; fiesta,シキ,し.る; しる.す,19,N3
鏡,522,mirror,metal; gold; vase; stand up; sun; day; human legs,キョウ; ケイ,かがみ,19,N1
境,523,boundary,soil; dirt; ground; mirror; vase; stand up; sun; day; human legs,キョウ; ケイ,さかい,14,N2
亡,524,deceased,perish; top hat; fishhook,ボウ; モウ,な.い; な.き-; ほろ.びる; ほろ.ぶ; ほろ.ぼす,3,N3
盲,525,blind,deceased; perish; top hat; fishhook; eye,モウ,めくら,8,N1
妄,526,delusion,deceased; perish; top hat; fishhook; woman,モウ; ボウ,みだ.りに,6,N1
荒,527,laid waste,wreath; flowers; deceased; perish; top hat; fishhook; stream; flood,コウ,あら.い; あら-; あ.れる; あ.らす; -あ.らし; すさ.む,9,N2
望,528,ambition,deceased; perish; top hat; fishhook; moon; month; flesh; part of the body; king; jewel; ball,ボウ; モウ,のぞ.む; もち,11,N3
方,529,direction,compass,ホウ,かた; -かた; -がた,4,N4
妨,530,disturb,compass; direction; woman,ボウ,さまた.げる,7,N1
坊,531,boy,soil; dirt; ground; compass; direction,ボウ; ボッ,,7
芳,532,perfumed,perfume; flowers; compass; direction,ホウ,かんば.しい,7,N1
肪,533,obese,moon; month; flesh; part of the body; compass; direction,ボウ,,8,N1
訪,534,call on,say; words; keitai; mouth; compass; direction,ホウ,おとず.れる; たず.ねる; と.う,11,N3
放,535,set free,compass; direction; taskmaster,ホウ,はな.す; -っぱな.し; はな.つ; はな.れる; こ.く; ほう.る,8,N3
激,536,violent,water; water droplets; water pistol; white; dove; compass; direction; taskmaster,ゲキ,はげ.しい,16,N1
脱,537,undress,moon; month; flesh; part of the body; devil; horns; elder brother; teenager; mouth; human legs,ダツ,ぬ.ぐ; ぬ.げる,11,N1
説,538,explanation,rumor; say; words; keitai; mouth; devil; horns; elder brother; teenager; mouth; human legs,セツ; ゼイ,と.く,14,N3
鋭,539,pointed,metal; gold; devil; horns; elder brother; teenager; mouth; human legs,エイ,するど.い,15,N2
曽,540,formerly,increase; horns; rice field; brains; sun; day,ソウ; ソ; ゾウ,かつ; かつて; すなわち,11
増,541,increase,soil; dirt; ground; formerly; horns; rice field; brains; sun; day,ゾウ,ま.す; ま.し; ふ.える; ふ.やす,14,N3
贈,542,presents,shellfish; clam; oyster; eye; animal legs; eight; increase; formerly; horns; rice field; brains; sun; day,ゾウ; ソウ,おく.る,18,N2
東,543,east,sun; day; tree; wood,トウ,ひがし,8,N5
棟,544,ridgepole,tree; wood; east; tree; wood; sun; day,トウ,むね; むな-,12,N1
凍,545,frozen,ice; east; tree; wood; sun; day,トウ,こお.る; こご.える; こご.る; い.てる; し.みる,10,N2
妊,546,pregnancy,woman; porter; drop; samurai,ニン; ジン,はら.む; みごも.る,7,N1
廷,547,courts,porter; drop; samurai; stretch,テイ,,7,N1
染,548,dye,water; water droplets; water pistol; nine; baseball; tree; wood,セン,そ.める; -ぞ.め; -ぞめ; そ.まる; し.みる; -じ.みる; し.み; -し.める,9,N1
燃,549,burn,fire; sort of thing; moon; crescent moon; month; flesh; part of the body; chihuahua; dog; large; drop; oven-fire; barbecue,ネン,も.える; も.やす; も.す,16,N2
賓,550,V.I.P.,house; one; ceiling; few; shellfish; clam; oyster; eye; animal legs; eight,ヒン,,15,N1
歳,551,year-end,year end; stop; footprint; one; little; small; march,サイ; セイ,とし; とせ; よわい,13,N3
県,552,prefecture,eye; fishhook; small; little,ケン,か.ける,9,N2
栃,553,horse chestnut,tree; wood; Wimbledon; cliff; ten thousand; one; bound up,,とち,9
地,554,ground,soil; dirt; scorpion,チ; ジ,,6,N4
池,555,pond,water; water droplets; water pistol; scorpion,チ,いけ,6,N2
虫,556,insect,in; stick; mouth,チュウ; キ,むし,6,N2
蛍,557,lightning bug,lightning-bug; schoolhouse; owl; crown; insect,ケイ,ほたる,11,N1
蛇,558,snake,insect; wind chimes; house; spoon; sitting on the ground,ジャ; ダ; イ; ヤ,へび,11,N1
虹,559,rainbow,insect; craft,コウ,にじ,9,N1
蝶,560,butterfly,insect; Tarzan; generation; tree; wood,チョウ,,15,N1
独,561,single,pack of wild dogs; insect,ドク; トク,ひと.り,9,N1
蚕,562,silkworm,heavens; insect,サン; テン,かいこ; こ,10,N1
風,563,wind,gnats; drop; insect,フウ; フ,かぜ; かざ-; -かぜ,9,N4
己,564,self,snake,コ; キ,おのれ; つちのと; な,3,N1
起,565,rouse,run; soil; dirt; ground; mend; snake; self,キ,お.きる; お.こる; お.こす; おこ.す; た.つ,10,N4
妃,566,queen,woman; snake; self,ヒ,きさき,6,N1
改,567,reformation,snake; self; taskmaster,カイ,あらた.める; あらた.まる,7,N2
記,568,scribe,say; words; keitai; mouth; snake; self,キ,しる.す,10,N3
包,569,wrap,bound up; snake; self,ホウ,つつ.む; くる.む,5,N2
胞,570,placenta,moon; month; flesh; part of the body; wrap; bound up; snake; self,ホウ,,9,N1
砲,571,cannon,stone; rock; wrap; bound up; snake; self,ホウ,,10,N1
泡,572,bubble,water; water droplets; water pistol; wrap; bound up; snake; self,ホウ,あわ,8,N1
亀,573,tortoise,bound up; eels; sun; day,キ; キュウ; キン,かめ,11,N1
電,574,electricity,rain; weather; eel; sun; day,デン,,13,N5
竜,575,dragon,vase; stand up; eel; sun; day,リュウ; リョウ; ロウ,たつ; いせ,10,N1
滝,576,waterfall,water; water droplets; water pistol; dragon; vase; stand up; eel; sun; day,ロウ; ソウ,たき,13,N1
豚,577,pork,moon; month; flesh; part of the body; sow; pig,トン,ぶた,11,N1
逐,578,pursue,sow; pig; road,チク,,10,N1
遂,579,consummate,horns; sow; pig; road,スイ,と.げる; つい.に,12,N1
家,580,house,sow; pig,カ; ケ,いえ; や; うち,10,N4
嫁,581,marry into,woman; house; sow; pig,カ,よめ; とつ.ぐ; い.く; ゆ.く,13,N1
豪,582,overpowering,tall; top hat; mouth; crown; sow; pig,ゴウ,えら.い,14,N1
腸,583,intestines,moon; month; flesh; part of the body; piggy bank; sun; day; piglets,チョウ,はらわた,13,N1
場,584,location,soil; dirt; ground; piggy bank; sun; day; piglets,ジョウ; チョウ,ば,12,N4
湯,585,hot water,water; water droplets; water pistol; piggy bank; sun; day; piglets,トウ,ゆ,12,N2
羊,586,sheep,horns,ヨウ,ひつじ,6,N1
美,587,beauty,sheep; large; St. Bernard,ビ; ミ,うつく.しい,9,N3
洋,588,ocean,water; water droplets; water pistol; sheep,ヨウ,,9,N4
詳,589,detailed,say; words; keitai; mouth; sheep,ショウ,くわ.しい; つまび.らか,13,N1
鮮,590,fresh,fish; bound up; rice field; brains; oven-fire; barbecue; sheep,セン,あざ.やか,17,N1
達,591,accomplished,soil; dirt; ground; sheep; road,タツ; ダ,-たち,12,N3
羨,592,envious,sheep; water; water droplets; water pistol; lack; yawn,セン; エン,うらや.む; あまり,13
差,593,distinction,wool; sheep; craft,サ,さ.す; さ.し,10,N3
着,594,don,wool; sheep; eye,チャク; ジャク,き.る; -ぎ; き.せる; -き.せ; つ.く; つ.ける,12,N4
唯,595,solely,mouth; turkey,ユイ; イ,ただ,11,N1
堆,596,piled high,soil; dirt; ground; turkey,タイ; ツイ,うずたか.い,11
椎,597,sweet oak,tree; wood; turkey,ツイ; スイ,つち; う.つ,12,N1
誰,598,who?,who; say; words; keitai; mouth; turkey,スイ,だれ; たれ; た,15
焦,599,char,turkey; oven-fire; barbecue,ショウ,こ.げる; こ.がす; こ.がれる; あせ.る,12,N1
礁,600,reef,stone; rock; char; turkey; oven-fire; barbecue,ショウ,,17,N1
集,601,gather,turkey; tree; wood,シュウ,あつ.まる; あつ.める; つど.う,12,N4
准,602,quasi-,ice; turkey,ジュン,,10,N1
進,603,advance,turkey; road,シン,すす.む; すす.める,11,N3
雑,604,miscellaneous,nine; baseball; tree; wood; turkey,ザツ; ゾウ,まじ.える; まじ.る,14,N3
雌,605,female,Prince; this here; stop; footprint; spoon; sitting on the ground; turkey,シ,め-; めす; めん,14,N1
準,606,semi-,water; water droplets; water pistol; turkey; ten; needle,ジュン,じゅん.じる; じゅん.ずる; なぞら.える; のり; ひと.しい; みずもり,13,N2
奮,607,stirred up,large; St. Bernard; turkey; rice field; brains,フン,ふる.う,16,N1
奪,608,rob,large; St. Bernard; turkey; glue,ダツ,うば.う,14,N1
確,609,assurance,stone; rock; turkeyhouse; house; turkey,カク; コウ,たし.か; たし.かめる,15,N3
午,610,noon,horse; pantomime horse; sign of the horse,ゴ,うま,4,N5
許,611,permit,say; words; keitai; mouth; horse; pantomime horse; noon; sign of the horse,キョ,ゆる.す; もと,11,N3
歓,612,delight,pegasus; horse; pantomime horse; noon; sign of the horse; turkey; lack; yawn,カン,よろこ.ぶ,15,N1
権,613,authority,tree; wood; pegasus; horse; pantomime horse; noon; sign of the horse; turkey,ケン; ゴン,おもり; かり; はか.る,15,N3
観,614,outlook,pegasus; horse; pantomime horse; noon; sign of the horse; turkey; see; telescope; eye; human legs,カン,み.る; しめ.す,18,N3
羽,615,feathers,wings,ウ,は; わ; はね,6,N2
習,616,learn,feathers; wings; white; dove,シュウ; ジュ,なら.う; なら.い,11,N4
翌,617,the following,feathers; wings; vase; stand up,ヨク,,11,N2
曜,618,weekday,sun; day; futon; feathers; wings; turkey,ヨウ,,18,N4
濯,619,laundry,water; water droplets; water pistol; futon; feathers; wings; turkey,タク,すす.ぐ; ゆす.ぐ,17,N2
曰,620,sayeth,pent in; one,エツ,いわ.く; のたま.う; のたま.わく; ここに; ひらび,4
困,621,quandary,pent in; tree; wood,コン,こま.る,7,N3
固,622,harden,pent in; old; tombstone; gravestone; church; ten; needle; mouth,コ,かた.める; かた.まる; かた.まり; かた.い,8,N2
錮,623,weld,,コ,ふさ.ぐ,16
国,624,country,pent in; king; jewel; ball; earring; drop,コク,くに,8,N5
団,625,group,pent in; glue,ダン; トン,かたまり; まる.い,6,N2
因,626,cause,pent in; large; St. Bernard,イン,よ.る; ちな.む,6,N3
姻,627,matrimony,woman; cause; pent in; large; St. Bernard,イン,,9,N1
咽,628,windpipe,mouth; cause; pent in; large; St. Bernard,イン; エン; エツ,むせ.ぶ; むせ.る; のど; の.む,9
園,629,park,pent in; earthenware jar; lidded crock; soil; dirt; ground; mouth; scarf,エン,その,13,N3
回,630,-times,times; pent in; mouth,カイ; エ,まわ.る; -まわ.る; -まわ.り; まわ.す; -まわ.す; まわ.し-; -まわ.し; もとお.る; か.える,6,N3
壇,631,podium,soil; dirt; ground; Churchill; top hat; -times; pent in; mouth; nightbreak; sun; day; one; floor,ダン; タン,,16,N1
店,632,store,cave; fortune-telling; magic wand; augury; mouth,テン,みせ; たな,8,N4
庫,633,warehouse,cave; car,コ; ク,くら,10,N2
庭,634,courtyard,cave; courts; porter; drop; samurai; stretch,テイ,にわ,10,N3
庁,635,government office,cave; street; nail; spike,チョウ; テイ,やくしょ,5,N2
床,636,bed,cave; tree; wood,ショウ,とこ; ゆか,7,N2
麻,637,hemp,cave; grove; tree; wood,マ; マア,あさ,11,N1
磨,638,grind,hemp; cave; grove; tree; wood; stone; rock,マ,みが.く; す.る,16,N2
心,639,heart,drops; fishhook,シン,こころ; -ごころ; りっしんべん,4,N4
忘,640,forget,perish; deceased; top hat; fishhook; heart,ボウ,わす.れる,7,N3
恣,641,selfish,,シ,ほしいまま,10
忍,642,endure,blade; sword; dagger; drop; heart,ニン,しの.ぶ; しの.ばせる,7,N1
認,643,acknowledge,say; words; keitai; mouth; endure; blade; sword; dagger; drop; heart,ニン,みと.める; したた.める,14,N3
忌,644,mourning,snake; self; heart,キ,い.む; い.み; い.まわしい,7,N1
志,645,intention,samurai; heart,シ; シリング,こころざ.す; こころざし,7,N1
誌,646,document,say; words; keitai; mouth; intention; samurai; heart,シ,,14,N2
芯,647,wick,flowers; heart,シン,,7
忠,648,loyalty,in; stick; mouth; heart,チュウ,,8,N1
串,649,shish kebab,kebab; in; stick; mouth,カン; ケン; セン,くし; つらぬ.く,7
患,650,afflicted,kebab; in; stick; mouth; heart,カン,わずら.う,11,N2
思,651,think,rice field; brains; heart,シ,おも.う; おもえら.く; おぼ.す,9,N4
恩,652,grace,cause; pent in; large; St. Bernard; heart,オン,,10,N1
応,653,apply,cave; heart,オウ; ヨウ; ノウ,あた.る; まさに; こた.える,7,N1
意,654,idea,sound; vase; stand up; sun; day; heart,イ,,13,N4
臆,655,cowardice,moon; month; flesh; part of the body; idea; sound; vase; stand up; sun; day; heart,オク; ヨク,むね; おくする,17
想,656,concept,inter milan; inter; tree; wood; eye; heart,ソウ; ソ,おも.う,13,N3
息,657,breath,nose; drop; eye; heart,ソク,いき,10,N3
憩,658,recess,tongue; thousand; mouth; nose; drop; eye; heart,ケイ,いこ.い; いこ.う,16,N1
恵,659,favor,ten; needle; rice field; brains; heart,ケイ; エ,めぐ.む; めぐ.み,10,N1
恐,660,fear,barge; craft; mediocre; drop; wind; heart,キョウ,おそ.れる; おそ.る; おそ.ろしい; こわ.い; こわ.がる,10,N3
惑,661,beguile,a; pope; fiesta; mouth; one; floor; heart,ワク,まど.う,12,N1
感,662,emotion,march; mouth; heart,カン,,13,N3
憂,663,melancholy,summer; head; page; crown; heart; walking legs,ユウ,うれ.える; うれ.い; う.い; う.き,15,N1
寡,664,widow,house; head; page; animal legs; eight; sword; dagger,カ,,14,N1
忙,665,busy,Freud; state of mind; deceased; perish; top hat; fishhook,ボウ; モウ,いそが.しい; せわ.しい; おそ.れる; うれえるさま,6,N3
悦,666,ecstasy,Freud; state of mind; devil; horns; elder brother; teenager; mouth; human legs,エツ,よろこ.ぶ; よろこ.ばす,10,N1
恒,667,constancy,Freud; state of mind; span; one; ceiling; sun; day; one; floor; one,コウ,つね; つねに,9,N1
悼,668,lament,Freud; state of mind; eminent; magic wand; augury; sun; day; ten; needle,トウ,いた.む,11,N1
悟,669,enlightenment,Freud; state of mind; I; five; mouth,ゴ,さと.る,10,N1
怖,670,dreadful,Freud; state of mind; linen; by one’s side; towel,フ; ホ,こわ.い; こわ.がる; お.じる; おそ.れる,8,N3
慌,671,disconcerted,Freud; state of mind; laid waste; wreath; flowers; deceased; perish; top hat; fishhook; stream; flood,コウ,あわ.てる; あわ.ただしい,12
悔,672,repent,Freud; state of mind; every; reclining; lying down; mother; breasts,カイ,く.いる; く.やむ; くや.しい,9,N1
憎,673,hate,Freud; state of mind; increase; formerly; horns; rice field; brains; sun; day,ゾウ,にく.む; にく.い; にく.らしい; にく.しみ,14,N2
慣,674,accustomed,Freud; state of mind; pierce; mother; breasts; shellfish; clam; oyster; eye; animal legs; eight,カン,な.れる; な.らす,14,N3
愉,675,pleasure,Freud; state of mind; meeting; umbrella; butchers; moon; month; flesh; part of the body; sword; sabre; saber,ユ,たの.しい; たの.しむ,12,N1
惰,676,lazy,Freud; state of mind; left-handed; left; by one’s side; craft; moon; month; flesh; part of the body,ダ,,12,N1
慎,677,humility,Freud; state of mind; true; truth; ten; needle; eye; tool; animal legs; eight,シン,つつし.む; つつし; つつし.み,13,N1
憾,678,remorse,Freud; state of mind; emotion; march; mouth; heart,カン,うら.む,16,N1
憶,679,recollection,Freud; state of mind; idea; sound; vase; stand up; sun; day; heart,オク,,16,N1
惧,680,disquieting,,ク,おそ.れる,11
憧,681,yearn,Freud; state of mind; juvenile; vase; stand up; computer,ショウ; トウ; ドウ,あこが.れる,15,N1
憬,682,hanker,,ケイ,あこが.れる,15
慕,683,pining,graveyard; flowers; sun; day; large; St. Bernard; valentine,ボ,した.う,14,N1
添,684,annexed,water; water droplets; water pistol; heavens; valentine,テン,そ.える; そ.う; も.える; も.う,11,N1
必,685,invariably,heart; stick; drop; fishhook,ヒツ,かなら.ず,5,N3
泌,686,ooze,water; water droplets; water pistol; invariably; heart; stick; drop; fishhook,ヒツ; ヒ,,8,N1
手,687,hand,,シュ; ズ,て; て-; -て; た-,4,N4
看,688,watch over,hand; eye,カン,み.る,9,N1
摩,689,chafe,hemp; cave; grove; tree; wood; hand,マ,ま.する; さ.する; す.る,15,N1
我,690,ego,hand; fiesta,ガ,われ; わ; わ.が-; わが-,7,N1
義,691,righteousness,sheep; ego; hand; fiesta,ギ,,13,N1
議,692,deliberation,say; words; keitai; mouth; righteousness; sheep; ego; hand; fiesta,ギ,,20,N3
犠,693,sacrifice,cow; righteousness; sheep; ego; hand; fiesta,ギ; キ,いけにえ,17,N1
抹,694,rub,finger; fingers; extremity; one; tree; wood,マツ,,8,N1
拭,695,wipe,finger; fingers; style; arrow; craft,ショク; シキ,ぬぐ.う; ふ.く,9
拉,696,yank,,ラ; ラツ; ロウ,くだ.く; ひし.ぐ; らっ.する,8
抱,697,embrace,finger; fingers; wrap; bound up; snake; self,ホウ,だ.く; いだ.く; かか.える,8,N3
搭,698,board,finger; fingers; flowers; fit; meeting; umbrella; one; mouth,トウ,,12,N1
抄,699,extract,finger; fingers; few,ショウ,,7,N1
抗,700,confront,finger; fingers; whirlwind; top hat; wind,コウ,,7,N1
批,701,criticism,finger; fingers; compare; spoon; sitting on the ground,ヒ,,7,N1
招,702,beckon,finger; fingers; summon; seduce; sword; dagger; mouth,ショウ,まね.く,8,N3
拓,703,clear the land,finger; fingers; stone; rock,タク,ひら.く,8,N1
拍,704,clap,finger; fingers; white; dove,ハク; ヒョウ,,8,N1
打,705,strike,finger; fingers; street; nail; spike,ダ; ダアス,う.つ; う.ち-; ぶ.つ,5,N3
拘,706,arrest,finger; fingers; phrase; bound up; mouth,コウ,かか.わる,8,N1
捨,707,discard,finger; fingers; cottage; little-thatch; umbrella; lidded crock; earthenware jar; soil; dirt; ground; mouth,シャ,す.てる,11,N2
拐,708,kidnap,finger; fingers; mouth; sword; dagger,カイ,,8,N1
摘,709,pinch,finger; fingers; antique; vase; stand up; hood; old; tombstone; gravestone; church; ten; needle; mouth,テキ,つ.む,14,N1
挑,710,challenge,finger; fingers; turtle; portent,チョウ,いど.む,9,N1
指,711,finger,fingers; delicious; spoon; sitting on the ground; sun; day,シ,ゆび; さ.す; -さ.し,9,N3
持,712,hold,finger; fingers; Buddhist temple; soil; dirt; ground; glue,ジ,も.つ; -も.ち; も.てる,9,N4
拶,713,imminent,finger; fingers; stream; flood; evening,サツ,せま.る,9
括,714,fasten,finger; fingers; tongue; thousand; mouth,カツ,くく.る,9,N1
揮,715,brandish,finger; fingers; army; chariot; crown; car; vehicle,キ,ふる.う,12,N1
推,716,conjecture,finger; fingers; turkey,スイ,お.す,11,N1
揚,717,hoist,finger; fingers; piggy bank; sun; day; piglets,ヨウ,あ.げる; -あ.げ; あ.がる,12,N1
提,718,propose,finger; fingers; just so; sun; day; mend,テイ; チョウ; ダイ,さ.げる,12,N1
損,719,damage,finger; fingers; employee; mouth; shellfish; clam; oyster; eye; animal legs; eight,ソン,そこ.なう; そこな.う; -そこ.なう; そこ.ねる; -そこ.ねる,13,N2
拾,720,pick up,finger; fingers; fit; meeting; umbrella; one; mouth,シュウ; ジュウ,ひろ.う,9,N2
担,721,shouldering,finger; fingers; nightbreak; sun; day; one; floor,タン,かつ.ぐ; にな.う,8,N2
拠,722,foothold,finger; fingers; dispose; walking legs; wind,キョ; コ,よ.る,8,N1
描,723,sketch,finger; fingers; seedlings; flowers; rice field; brains,ビョウ,えが.く; か.く,11,N1
操,724,maneuver,finger; fingers; wooden goods; furniture; goods; mouth; tree; wood,ソウ; サン,みさお; あやつ.る,16,N1
接,725,touch,finger; fingers; concubine; vase; stand up; woman,セツ; ショウ,つ.ぐ,11,N2
掲,726,put up a notice,put up (a notice); finger; fingers; mexican bandit; muchacho; siesta; sun; day; aroma; bound up; spoon; sitting on the ground,ケイ,かか.げる,11,N1
掛,727,hang,finger; fingers; ivy; square jewel; soil; dirt; ground; magic wand; augury,カイ; ケイ,か.ける; -か.ける; か.け; -か.け; -が.け; か.かる; -か.かる; -が.かる; か.かり; -が.かり; かかり; -がかり,11,N3
捗,728,make headway,finger; fingers; walk; stop; footprint; few,チョク; ホ,はかど.る,10
研,729,polish,stone; rock; two hands,ケン,と.ぐ,9,N4
戒,730,commandment,two hands; fiesta,カイ,いまし.める,7,N1
弄,731,tinker with,king; jewel; ball; two hands,ロウ; ル,いじく.る; ろう.する; いじ.る; ひねく.る; たわむ.れる; もてあそ.ぶ,7
械,732,contraption,tree; wood; commandments; two hands; fiesta,カイ,かせ,11,N2
鼻,733,nose,drop; eye; rice field; brains; two hands,ビ,はな,14,N2
刑,734,punish,two hands; sword; sabre; saber,ケイ,,6,N1
型,735,mould,punish; two hands; sword; sabre; saber; soil; dirt; ground,ケイ,かた; -がた,9,N2
才,736,genius,genie,サイ,,3,N3
財,737,property,shellfish; clam; oyster; eye; animal legs; eight; genie,ザイ; サイ; ゾク,たから,10,N3
材,738,lumber,tree; wood; genie,ザイ,,7,N2
存,739,suppose,genie; child,ソン; ゾン,,6,N3
在,740,exist,genie; soil; dirt; ground,ザイ,あ.る,6,N3
乃,741,from,fist,ナイ; ダイ; ノ; アイ,の; すなわ.ち; なんじ,2,N1
携,742,portable,finger; fingers; turkey; fist; from,ケイ,たずさ.える; たずさ.わる,13,N1
及,743,reach out,fist; from; drop,キュウ,およ.ぶ; およ.び; および; およ.ぼす,3,N1
吸,744,suck,mouth; reach out,キュウ,す.う,6,N3
扱,745,handle,finger; fingers; reach out,ソウ; キュウ,あつか.い; あつか.う; あつか.る; こ.く,6,N1
丈,746,length,stick; tucked under the arm,ジョウ,たけ; だけ,3
史,747,history,mouth; tucked under the arm,シ,,5,N2
吏,748,officer,history; length; stick; one; mouth; tucked under the arm,リ,,6,N1
更,749,grow late,Ameratasu; one; ceiling; sun; tucked under the arm,コウ,さら; さら.に; ふ.ける; ふ.かす,7,N3
硬,750,stiff,stone; rock; grow late; Ameratasu; one; ceiling; sun; tucked under the arm,コウ,かた.い,12,N2
梗,751,spiny,tree; wood; grow late; Ameratasu; one; ceiling; sun; tucked under the arm,コウ; キョウ,ふさぐ; やまにれ; おおむね,11
又,752,or again,crotch,ユウ,また; また-; また.の-,2,N1
双,753,pair,crotch,ソウ,ふた; たぐい; ならぶ; ふたつ,4,N2
桑,754,mulberry,crotch; tree; wood,ソウ,くわ,10,N1
隻,755,vessels,turkey; crotch,セキ,,10,N2
護,756,safeguard,say; words; keitai; mouth; radio caroline; flowers; vessels; turkey; crotch,ゴ,まも.る,20,N1
獲,757,seize,pack of wild dogs; radio caroline; flowers; vessels; turkey; crotch,カク,え.る,16,N1
奴,758,guy,woman; crotch,ド,やつ; やっこ,5,N1
怒,759,angry,guy; woman; crotch; heart,ド; ヌ,いか.る; おこ.る,9,N3
友,760,friend,by one’s side; crotch,ユウ,とも,4,N5
抜,761,slip out,finger; fingers; friend; woman; crotch,バツ; ハツ; ハイ,ぬ.く; -ぬ.く; ぬ.き; ぬ.ける; ぬ.かす; ぬ.かる,7,N3
投,762,throw,finger; fingers; cruise missile; missile; wind; crotch,トウ,な.げる; -な.げ,7,N3
没,763,drown,water; water droplets; water pistol; cruise missile; missile; wind; crotch,ボツ; モツ,おぼ.れる; しず.む; ない,7,N1
股,764,thigh,moon; month; flesh; part of the body; cruise missile; missile; wind; crotch,コ,また; もも,8
設,765,establishment,say; words; keitai; mouth; cruise missile; missile; wind; crotch,セツ,もう.ける,11,N2
撃,766,beat,tank; car; cruise missile; missile; wind; crotch; hand,ゲキ,う.つ,15,N1
殻,767,husk,samurai; superfluous; crown; wind; cruise missile; missile; wind; crotch,カク; コク; バイ,から; がら,11,N1
支,768,branch,ten; needle; crotch,シ,ささ.える; つか.える; か.う; しんよう; じゅうまた,4,N3
技,769,skill,finger; fingers; branch; ten; needle; crotch,ギ,わざ,7,N2
枝,770,bough,tree; wood; branch; ten; needle; crotch,シ,えだ,8,N2
肢,771,limb,moon; month; flesh; part of the body; branch; ten; needle; crotch,シ,,8,N1
茎,772,stalk,flowers; spool; clod; toilet paper; crotch; soil; dirt; ground,ケイ; キョウ,くき,8,N1
怪,773,suspicious,Freud; state of mind; spool; clod; toilet paper; crotch; soil; dirt; ground,カイ; ケ,あや.しい; あや.しむ,8,N1
軽,774,lightly,car; spool; clod; toilet paper; crotch; soil; dirt; ground,ケイ,かる.い; かろ.やか; かろ.んじる,12,N2
叔,775,uncle,above; small; little; crotch,シュク,,8,N1
督,776,coach,uncle; above; small; little; crotch; eye,トク,,13,N1
寂,777,loneliness,house; uncle; above; small; little; crotch,ジャク; セキ,さび; さび.しい; さび.れる; さみ.しい,11,N1
淑,778,graceful,water; water droplets; water pistol; uncle; above; small; little; crotch,シュク,しと.やか,11,N1
反,779,anti-,demonstation; cliff; crotch,ハン; ホン; タン; ホ,そ.る; そ.らす; かえ.す; かえ.る; -かえ.る,4,N3
坂,780,slope,soil; dirt; ground; anti-; demonstration; cliff; crotch,ハン,さか,7,N2
板,781,plank,tree; wood; anti-; demonstration; cliff; crotch,ハン; バン,いた,8,N2
返,782,return,anti-; demonstration; cliff; crotch; road,ヘン,かえ.す; -かえ.す; かえ.る; -かえ.る,7,N3
販,783,marketing,shellfish; clam; oyster; eye; animal legs; eight; anti-; demonstration; cliff; crotch,ハン,,11,N2
爪,784,claw,vulture,ソウ,つめ; つま-,4
妥,785,gentle,claw; vulture; woman,ダ,,7,N1
乳,786,milk,fledgling; claw; vulture; child; fishhook,ニュウ,ちち; ち,8,N2
浮,787,floating,water; water droplets; water pistol; fledgling; claw; vulture; child,フ,う.く; う.かれる; う.かぶ; む; う.かべる,10,N3
淫,788,lewd,water; water droplets; water pistol; claw; vulture; porter; drop; samurai,イン,ひた.す; ほしいまま; みだ.ら; みだ.れる; みだり,11
